A car (or automobile) is a wheeled motor vehicle that is used for transportation.	Carl Friedrich Benz (German: [bɛnts] (listen); 25 November 1844 – 4 April 1929), sometimes also Karl Friedrich Benz, was a German engine designer and automotive engineer.
The atmospheric engine was invented by Thomas Newcomen in 1712, and is often referred to simply as a Newcomen engine.	Thomas Newcomen (/ˈnjuːkʌmən/; February 1664[i][1] – 5 August 1729) was an English inventor who created the atmospheric engine, the first practical fuel-burning engine in 1712.
An electric light, lamp, or colloquially called light bulb is an electrical device that produces light. 	Thomas Alva Edison (February 11, 1847 – October 18, 1931) was an American inventor and businessman. 
A printing press is a mechanical device for applying pressure to an inked surface resting upon a print medium (such as paper or cloth), thereby transferring the ink.	Johannes Gensfleisch zur Laden zum Gutenberg (/ˈɡuːtənbɜːrɡ/;[1] c. 1400[2] – 3 February 1468) was a German inventor, printer, publisher, and goldsmith who introduced printing to Europe with his mechanical movable-type printing press.
An airplane or aeroplane (informally plane) is a fixed-wing aircraft that is propelled forward by thrust from a jet engine, propeller, or rocket engine.	Orville Wright (August 19, 1871 – January 30, 1948) and Wilbur Wright (April 16, 1867 – May 30, 1912),[a] together known as the Wright brothers, were American aviation pioneers generally credited[3][4][5] with inventing, building, and flying the world's first successful motor-operated airplane.
Dry cleaning is any cleaning process for clothing and textiles using a solvent other than water.	Thomas L. Jennings (January 1, 1791 – February 13, 1856) was an African-American inventor, tradesman, entrepreneur, and abolitionist in New York City, New York.
Photography is the art, application, and practice of creating durable images by recording light, either electronically by means of an image sensor, or chemically by means of a light-sensitive material such as photographic film.	Joseph Nicéphore Niépce (French: [nisefɔʁ njɛps]; 7 March 1765 – 5 July 1833),[1] commonly known or referred to simply as Nicéphore Niépce, was a French inventor, usually credited as the inventor of photography and a pioneer in that field.
Morse code is a method used in telecommunication to encode text characters as standardized sequences of two different signal durations, called dots and dashes, or dits and dahs.	Samuel Finley Breese Morse (April 27, 1791 – April 2, 1872) was an American inventor and painter.
An induction motor or asynchronous motor is an AC electric motor in which the electric current in the rotor needed to produce torque is obtained by electromagnetic induction from the magnetic field of the stator winding.	Nikola Tesla (/ˈtɛslə/ TESS-lə; Serbian Cyrillic: Никола Тесла,[2] pronounced [nǐkola têsla];[a] 10 July [O.S. 28 June] 1856 – 7 January 1943) was a Serbian-American[5][6][7] inventor, electrical engineer, mechanical engineer, and futurist best known for his contributions to the design of the modern alternating current (AC) electricity supply system.
A film – also called a movie, motion picture, moving picture, picture or photoplay – is a work of visual art that simulates experiences and otherwise communicates ideas, stories, perceptions, feelings, beauty, or atmosphere through the use of moving images.	The Lumière brothers (UK: /ˈluːmiɛər/, US: /ˌluːmiˈɛər/; French: [lymjɛːʁ]), Auguste Marie Louis Nicolas Lumière (19 October 1862 – 10 April 1954) and Louis Jean Lumière (5 October 1864 – 6 June 1948),[1][2] were French manufacturers of photography equipment, best known for their Cinématographe motion picture system and the short films they produced between 1895 and 1905, which places them among the earliest filmmakers.
Radio is the technology of signaling and communicating using radio waves.	Guglielmo Giovanni Maria Marconi, 1st Marquis of Marconi FRSA (Italian: [ɡuʎˈʎɛlmo marˈkoːni]; 25 April 1874 – 20 July 1937) was an Italian[1][2][3][4] inventor and electrical engineer, known for his creation of a practical radio wave-based wireless telegraph system.
A telephone is a telecommunications device that permits two or more users to conduct a conversation when they are too far apart to be heard directly.	Alexander Graham Bell (/ˈɡreɪ.əm/, born Alexander Bell; March 3, 1847 – August 2, 1922)[4] was a Scottish-born[N 1] inventor, scientist and engineer who is credited with patenting the first practical telephone.
An electric clock is a clock that is powered by electricity, as opposed to a mechanical clock which is powered by a hanging weight or a mainspring.	Alexander Bain (12 October 1810 – 2 January 1877) was a Scottish inventor and engineer who was first to invent and patent the electric clock.
A steam locomotive is a locomotive that provides the force to move itself and other vehicles by means of the expansion of steam.	Richard Trevithick (13 April 1771 – 22 April 1833) was a British inventor and mining engineer.
Penicillins (P, PCN or PEN) are a group of antibiotics originally obtained from Penicillium moulds, principally P. chrysogenum and P. rubens.	Sir Alexander Fleming FRS FRSE FRCS[1] (6 August 1881 – 11 March 1955) was a Scottish physician and microbiologist, best known for discovering the world's first broadly effective antibiotic substance, which he named penicillin.
An N95 filtering facepiece respirator, commonly abbreviated N95 respirator,[1] is a particulate-filtering facepiece respirator that meets the U.S. National Institute for Occupational Safety and Health (NIOSH) N95 classification of air filtration, meaning that it filters at least 95% of airborne particles.	Peter Tsai (Chinese: 蔡秉燚; born February 6, 1952) is a Taiwanese-American inventor and material scientist who is best known for inventing and patenting the N95 mask filter.
